GEOID_TRACT_20,GEOID_TRACT_10
13001950100,13001950100
13001950201,13001950200
13001950202,13001950200
13001950301,13001950300
13001950302,13001950300
13001950400,13001950400
13001950500,13001950500
13003960100,13003960100
13003960200,13003960200
13003960200,13003960300
13003960300,13003960300
13005970100,13005970100
13005970201,13005970201
13005970202,13005970202
13007960100,13007960100
13007960200,13007960100
13007960200,13007960200
13009970101,13009970100
13009970102,13009970100
13009970102,13009970200
13009970102,13141480300
13009970201,13009970100
13009970201,13009970200
13009970202,13009970200
13009970301,13009970300
13009970302,13009970300
13009970302,13009970400
13009970400,13009970400
13009970400,13009970500
13009970501,13009970500
13009970502,13009970500
13009970600,13009970600
13009970701,13009970701
13009970702,13009970702
13009970801,13009970800
13009970802,13009970800
13011970100,13011970100
13011970100,13119890200
13011970100,13137000601
13011970100,13257970400
13011970200,13011970200
13011970300,13011970300
13011970300,13139000101
13011970300,13139000102
13011970300,13157010300
13011970400,13011970400
13011970400,13195020100
13013180103,13013180103
13013180103,13013180105
13013180104,13013180104
13013180104,13013180106
13013180104,13013180107
13013180104,13013180108
13013180105,13013180103
13013180105,13013180105
13013180105,13013180106
13013180105,13013180107
13013180106,13013180106
13013180106,13013180107
13013180107,13013180107
13013180108,13013180104
13013180108,13013180107
13013180108,13013180108
13013180203,13013180203
13013180204,13013180204
13013180205,13013180107
13013180205,13013180205
13013180206,13013180206
13013180301,13013180301
13013180302,13013180302
13013180303,13013180303
13013180401,13013180401
13013180402,13013180401
13013180402,13013180402
13013180501,13013180501
13013180502,13013180204
13013180502,13013180502
13013180503,13013180502
13013180503,13013180503
13015960101,13015960101
13015960101,13015960102
13015960103,13015960102
13015960103,13015960402
13015960104,13015960102
13015960104,13015960402
13015960105,13015960102
13015960105,13015960402
13015960201,13015960200
13015960201,13015960300
13015960202,13015960200
13015960203,13015960200
13015960203,13015960300
13015960301,13015960200
13015960301,13015960300
13015960302,13015960300
13015960403,13015960401
13015960404,13015960401
13015960405,13015960401
13015960405,13015960402
13015960406,13015960402
13015960407,13015960402
13015960501,13015960500
13015960502,13015960500
13015960601,13015960600
13015960602,13015960500
13015960602,13015960600
13015960701,13015960500
13015960701,13015960600
13015960701,13015960700
13015960702,13015960600
13015960702,13015960700
13015960801,13015960801
13015960802,13015960802
13015960804,13015960803
13015960805,13015960803
13015960901,13015960803
13015960901,13015960901
13015960902,13015960600
13015960902,13015960902
13015961001,13015961000
13015961002,13015961000
13017960100,13017960100
13017960200,13017960200
13017960300,13017960300
13017960400,13017960400
13017960501,13017960500
13017960502,13017960500
13019970100,13019970100
13019970100,13019970200
13019970200,13019970200
13019970300,13019970300
13019970400,13019970400
13019970500,13019970500
13019970600,13019970600
13021010100,13021010100
13021010200,13021010200
13021010200,13021011800
13021010400,13021010400
13021010500,13021010500
13021010500,13021013700
13021010800,13021010200
13021010800,13021010800
13021010800,13021013700
13021011001,13021011000
13021011002,13021011000
13021011100,13021011000
13021011100,13021011100
13021011500,13021011500
13021011701,13021011000
13021011701,13021011100
13021011701,13021011701
13021011702,13021011100
13021011702,13021011702
13021011800,13021011800
13021011900,13021011900
13021012000,13021011800
13021012000,13021012000
13021012101,13021012101
13021012101,13021013410
13021012102,13021012102
13021012200,13021012200
13021012200,13021012300
13021012400,13021012400
13021012500,13021012500
13021012600,13021012500
13021012600,13021012600
13021012700,13021012700
13021012800,13021012800
13021012900,13021012900
13021013101,13021013101
13021013101,13021013202
13021013102,13021013102
13021013201,13021012400
13021013201,13021012500
13021013201,13021013201
13021013202,13021012500
13021013202,13021013201
13021013202,13021013202
13021013302,13021013302
13021013407,13021013407
13021013408,13021013408
13021013409,13021013409
13021013411,13021013411
13021013411,13207050302
13021013412,13021013410
13021013413,13021013410
13021013413,13207050301
13021013413,13207050302
13021013502,13021013502
13021013503,13021013503
13021013505,13021013504
13021013506,13021013504
13021013603,13021013101
13021013603,13021013603
13021013603,13021013604
13021013604,13021013604
13021013605,13021013605
13021013607,13021013606
13021013608,13021013606
13021013701,13021013700
13021013702,13021010300
13021013702,13021013700
13021013800,13021013800
13021013900,13021013502
13021013900,13021013900
13021014000,13021010200
13021014000,13021010300
13021014000,13021012300
13021014000,13021012400
13023790100,13023790100
13023790200,13023790200
13023790301,13023790300
13023790302,13023790300
13025960101,13025960100
13025960101,13127001000
13025960102,13025960100
13025960201,13025960200
13025960202,13025960200
13025960300,13025960300
13027960200,13027960200
13027960301,13027960300
13027960302,13027960300
